Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.11.11, Validate dataset, -1, 727.386535644531250000, 656.466613769531250000,  ,  , 33237, 42.0, 2072508
Python-3.11.11, Validate dataset, -1, 719.164672851562500000, 648.889648437500000000,  ,  , 32907, 41.8, 2072448
Python-3.11.11, Validate dataset, -1, 713.474792480468750000, 643.631408691406250000,  ,  , 32705, 42.0, 2072432
Python-3.11.11, Validate dataset, -1, 721.334655761718750000, 650.816467285156250000,  ,  , 33075, 42.0, 2072536
Python-3.11.11, Validate dataset, -1, 712.068115234375000000, 642.132202148437500000,  ,  , 32800, 41.0, 2072344
Python-3.11.11, Validate dataset, -1, 725.013488769531250000, 654.325988769531250000,  ,  , 33147, 42.2, 2072584
Python-3.11.11, Validate dataset, -1, 716.430969238281250000, 646.423034667968750000,  ,  , 32789, 42.0, 2072580
Python-3.11.11, Validate dataset, -1, 719.977233886718750000, 649.516052246093750000,  ,  , 33043, 41.5, 2072512
Python-3.11.11, Validate dataset, -1, 722.295166015625000000, 651.585205078125000000,  ,  , 33128, 42.0, 2072592
Python-3.11.11, Validate dataset, -1, 747.939758300781250000, 676.843505859375000000,  ,  , 33330, 42.0, 2072348
