Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.13.1, Prime Range [0;200000000], -1, 905.693298339843750000, 814.636962890625000000,  ,  , 42932, 43.0, 9912
Python-3.13.1, Prime Range [0;200000000], -1, 901.514221191406250000, 809.865661621093750000,  ,  , 43138, 43.0, 9848
Python-3.13.1, Prime Range [0;200000000], -1, 892.829589843750000000, 801.798217773437500000,  ,  , 42842, 42.8, 9984
Python-3.13.1, Prime Range [0;200000000], -1, 890.849487304687500000, 800.023864746093750000,  ,  , 42846, 42.8, 10016
Python-3.13.1, Prime Range [0;200000000], -1, 900.096191406250000000, 808.852905273437500000,  ,  , 42954, 42.8, 9840
Python-3.13.1, Prime Range [0;200000000], -1, 894.670227050781250000, 803.504699707031250000,  ,  , 42920, 41.8, 9892
Python-3.13.1, Prime Range [0;200000000], -1, 888.050415039062500000, 797.041992187500000000,  ,  , 42862, 42.2, 9884
Python-3.13.1, Prime Range [0;200000000], -1, 901.632995605468750000, 810.392700195312500000,  ,  , 42956, 43.0, 9872
Python-3.13.1, Prime Range [0;200000000], -1, 897.797180175781250000, 806.708496093750000000,  ,  , 42971, 42.8, 9980
Python-3.13.1, Prime Range [0;200000000], -1, 954.791320800781250000, 856.618103027343750000,  ,  , 46300, 42.8, 9968
