Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.12.9, Prime Range [0;300000000], -1, 1148.531616210937500000, 1033.371948242187500000,  ,  , 54316, 43.0, 10224
Python-3.12.9, Prime Range [0;300000000], -1, 1143.225158691406250000, 1027.915710449218750000,  ,  , 54327, 43.0, 10172
Python-3.12.9, Prime Range [0;300000000], -1, 1152.341796875000000000, 1036.722717285156250000,  ,  , 54402, 43.2, 10224
Python-3.12.9, Prime Range [0;300000000], -1, 1145.659667968750000000, 1030.262145996093750000,  ,  , 54311, 43.0, 10296
Python-3.12.9, Prime Range [0;300000000], -1, 1144.229248046875000000, 1030.284545898437500000,  ,  , 53739, 42.0, 10252
Python-3.12.9, Prime Range [0;300000000], -1, 1152.273376464843750000, 1036.894470214843750000,  ,  , 54371, 42.8, 10292
Python-3.12.9, Prime Range [0;300000000], -1, 1146.399414062500000000, 1031.294067382812500000,  ,  , 54293, 42.5, 10420
Python-3.12.9, Prime Range [0;300000000], -1, 1148.216430664062500000, 1032.781372070312500000,  ,  , 54336, 43.2, 10168
Python-3.12.9, Prime Range [0;300000000], -1, 1133.238891601562500000, 1017.786376953125000000,  ,  , 54332, 43.0, 10304
Python-3.12.9, Prime Range [0;300000000], -1, 1164.127197265625000000, 1045.980957031250000000,  ,  , 55653, 42.2, 10252
