Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-2.0.1, Prime Range [0;100000], -1, 1274.021484375000000000, 1164.575805664062500000,  ,  , 51381, 45.8, 10196
Python-2.0.1, Prime Range [0;100000], -1, 1239.708374023437500000, 1132.419433593750000000,  ,  , 50525, 45.2, 10068
Python-2.0.1, Prime Range [0;100000], -1, 1253.042236328125000000, 1143.695617675781250000,  ,  , 51347, 45.2, 10192
Python-2.0.1, Prime Range [0;100000], -1, 1270.315429687500000000, 1156.727844238281250000,  ,  , 52829, 45.2, 10148
Python-2.0.1, Prime Range [0;100000], -1, 1235.599670410156250000, 1128.290649414062500000,  ,  , 50526, 45.5, 10196
Python-2.0.1, Prime Range [0;100000], -1, 1293.311950683593750000, 1182.422424316406250000,  ,  , 51898, 45.8, 10136
Python-2.0.1, Prime Range [0;100000], -1, 1237.595092773437500000, 1129.321899414062500000,  ,  , 50849, 44.2, 10160
Python-2.0.1, Prime Range [0;100000], -1, 1232.050048828125000000, 1124.741882324218750000,  ,  , 50482, 44.8, 10204
Python-2.0.1, Prime Range [0;100000], -1, 1236.134399414062500000, 1128.820678710937500000,  ,  , 50515, 44.8, 10224
Python-2.0.1, Prime Range [0;100000], -1, 1229.948059082031250000, 1122.814758300781250000,  ,  , 50435, 44.5, 10152
