Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-2.7.18, Prime Range [0;100000], -1, 1214.444152832031250000, 1106.775756835937500000,  ,  , 50695, 44.5, 12776
Python-2.7.18, Prime Range [0;100000], -1, 1216.761840820312500000, 1108.537231445312500000,  ,  , 50914, 45.8, 12836
Python-2.7.18, Prime Range [0;100000], -1, 1211.556457519531250000, 1103.807800292968750000,  ,  , 50683, 44.8, 12740
Python-2.7.18, Prime Range [0;100000], -1, 1211.756042480468750000, 1104.254882812500000000,  ,  , 50618, 44.5, 12700
Python-2.7.18, Prime Range [0;100000], -1, 1221.661437988281250000, 1113.297607421875000000,  ,  , 50967, 44.8, 12644
Python-2.7.18, Prime Range [0;100000], -1, 1244.604125976562500000, 1134.255310058593750000,  ,  , 51547, 45.0, 12784
Python-2.7.18, Prime Range [0;100000], -1, 1233.789489746093750000, 1123.963684082031250000,  ,  , 51584, 45.0, 12708
Python-2.7.18, Prime Range [0;100000], -1, 1214.437011718750000000, 1106.811706542968750000,  ,  , 50658, 45.0, 12644
Python-2.7.18, Prime Range [0;100000], -1, 1216.580871582031250000, 1108.796752929687500000,  ,  , 50731, 45.0, 12708
Python-2.7.18, Prime Range [0;100000], -1, 1210.988891601562500000, 1103.488464355468750000,  ,  , 50616, 44.8, 12800
