Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.10.16, Load dataset, -1, 58.299621582031250000, 51.728637695312500000,  ,  , 2957, 38.2, 2071004
Python-3.10.16, Load dataset, -1, 58.613037109375000000, 52.026550292968750000,  ,  , 2960, 38.8, 2071088
Python-3.10.16, Load dataset, -1, 58.453735351562500000, 51.848876953125000000,  ,  , 2973, 38.8, 2070968
Python-3.10.16, Load dataset, -1, 58.139099121093750000, 51.568176269531250000,  ,  , 2964, 39.5, 2071076
Python-3.10.16, Load dataset, -1, 57.791748046875000000, 51.263610839843750000,  ,  , 2942, 39.2, 2071084
Python-3.10.16, Load dataset, -1, 57.949340820312500000, 51.411315917968750000,  ,  , 2940, 38.8, 2071180
Python-3.10.16, Load dataset, -1, 57.692138671875000000, 51.130920410156250000,  ,  , 2951, 38.5, 2071084
Python-3.10.16, Load dataset, -1, 57.383361816406250000, 50.801147460937500000,  ,  , 2959, 38.8, 2071008
Python-3.10.16, Load dataset, -1, 57.599182128906250000, 51.063049316406250000,  ,  , 2949, 38.8, 2071128
Python-3.10.16, Load dataset, -1, 58.379943847656250000, 51.763427734375000000,  ,  , 2982, 38.8, 2071116
