Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.12.3, Prime Range [0;300000000], -1, 1179.894409179687500000, 1059.321899414062500000,  ,  , 56801, 42.8, 9976
Python-3.12.3, Prime Range [0;300000000], -1, 1226.146911621093750000, 1105.429931640625000000,  ,  , 56815, 43.2, 9980
Python-3.12.3, Prime Range [0;300000000], -1, 1262.089599609375000000, 1133.448425292968750000,  ,  , 60558, 42.5, 10132
Python-3.12.3, Prime Range [0;300000000], -1, 1187.217590332031250000, 1067.146179199218750000,  ,  , 56613, 43.0, 10048
Python-3.12.3, Prime Range [0;300000000], -1, 1175.571655273437500000, 1055.337341308593750000,  ,  , 56595, 42.8, 10132
Python-3.12.3, Prime Range [0;300000000], -1, 1331.839477539062500000, 1205.609436035156250000,  ,  , 59426, 46.5, 10024
Python-3.12.3, Prime Range [0;300000000], -1, 1206.442382812500000000, 1085.455871582031250000,  ,  , 56879, 43.0, 10072
Python-3.12.3, Prime Range [0;300000000], -1, 1181.145324707031250000, 1060.750854492187500000,  ,  , 56775, 42.5, 10040
Python-3.12.3, Prime Range [0;300000000], -1, 1191.313049316406250000, 1070.675354003906250000,  ,  , 56873, 42.8, 10072
Python-3.12.3, Prime Range [0;300000000], -1, 1187.904174804687500000, 1067.243713378906250000,  ,  , 56802, 43.0, 10000
