Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.12.8, Prime Range [0;200000000], -1, 881.873962402343750000, 793.177368164062500000,  ,  , 41786, 42.2, 10396
Python-3.12.8, Prime Range [0;200000000], -1, 875.862670898437500000, 787.162963867187500000,  ,  , 41771, 42.8, 10244
Python-3.12.8, Prime Range [0;200000000], -1, 878.714111328125000000, 790.078735351562500000,  ,  , 41717, 43.2, 10184
Python-3.12.8, Prime Range [0;200000000], -1, 881.289611816406250000, 792.442932128906250000,  ,  , 41896, 43.0, 10212
Python-3.12.8, Prime Range [0;200000000], -1, 877.500671386718750000, 788.914428710937500000,  ,  , 41689, 44.5, 10176
Python-3.12.8, Prime Range [0;200000000], -1, 868.822265625000000000, 780.284851074218750000,  ,  , 41672, 42.5, 10040
Python-3.12.8, Prime Range [0;200000000], -1, 876.741821289062500000, 788.238952636718750000,  ,  , 41638, 43.0, 10112
Python-3.12.8, Prime Range [0;200000000], -1, 902.364990234375000000, 813.372924804687500000,  ,  , 41791, 42.5, 10288
Python-3.12.8, Prime Range [0;200000000], -1, 885.627807617187500000, 796.691589355468750000,  ,  , 41879, 42.5, 10280
Python-3.12.8, Prime Range [0;200000000], -1, 905.892883300781250000, 816.939086914062500000,  ,  , 41793, 43.0, 10304
